推數,噓數,文章分數,文章作者,文章名稱,發表時間
2,1,1,zxc445567 (飄飄),[問卦] 台海戰爭時肥宅需要防彈衣嗎？,Wed Nov  3 12:51:24 2021
119,21,98,Rusnake5566 (魯蛇+56 PTT最強帳號),[問卦] 台灣人是不是罷免罷上癮,Wed Nov  3 12:23:42 2021
16,3,13,app325 (艾波),[問卦] 台灣人為什麼都不說敬語？,Wed Nov  3 13:11:35 2021
4,0,4,liang691206 (liang691206),[問卦] 台灣人為何這麼反萊豬啊,Wed Nov  3 14:29:44 2021
1,3,-2,w180112 ([NOOB]我超RETARD我超廢 ),[問卦] 台灣是不是以前的歌手比較厲害啊,Wed Nov  3 12:13:29 2021
4,0,4,oscarwu3041 (小羽毛),[問卦] 台灣會怎麼拍指定倖存者？,Wed Nov  3 16:25:34 2021
2,1,1,best004 (TRF-004),[問卦] 台灣的抗中保台跟二戰日本比起來如何,Wed Nov  3 12:51:57 2021
7,0,7,"aitt (非主流,有何不可(M))",[問卦] 台灣跟多明尼加比籃球勝算遠比棒球低八卦,Wed Nov  3 12:34:07 2021
4,1,3,ikoy (？？？？),[問卦] 台男肥宅在哪國夜店容易把到妹,Wed Nov  3 12:04:11 2021
10,3,7,PPPa (3P),[問卦] 各位台男都先買房再買車嗎？,Wed Nov  3 16:40:24 2021
16,2,14,pzhao (睡覺青年),[問卦] 各位在路上看到8+9車禍會幫忙嗎,Wed Nov  3 15:20:54 2021
11,5,6,amgine22222 (Yin Cheng),[問卦] 各位是飯派還是麵派？,Wed Nov  3 14:26:56 2021
11,0,11,Surlyn (  ),[問卦] 含魚的自助餐95算划算嗎？,Wed Nov  3 12:18:38 2021
11,2,9,herex (魔導戰士破壞者),[問卦] 呂布如果好好待在曹營是不是穩了,Wed Nov  3 11:43:27 2021
7,2,5,xiaohan (小華),[問卦] 咦！我中了,Wed Nov  3 13:01:41 2021
8,1,7,a27938686 (海灘褲),[問卦] 哪家電動重機可以買,Wed Nov  3 12:48:49 2021
11,4,7,LoveMakeLove (民進党の狂犬),[問卦] 唐可可聲優Liyuu上日本地上波節目？,Wed Nov  3 13:15:49 2021
1,2,-1,moshenisshit (嘻嘻),[問卦] 國小生發現同學被家暴會想什麼？,Wed Nov  3 15:31:15 2021
43,3,40,d995511 (flcl),[問卦] 在台北有了一台車人生會變得怎樣,Wed Nov  3 16:00:43 2021
26,4,22,artist0918 (風城),[問卦] 基努李維在片場搬運攝影器材的卦？,Wed Nov  3 12:05:28 2021
11,0,11,Qoo2222 (Qoo2222),[問卦] 大地震時天然氣儲存槽會比核電廠安全嗎,Wed Nov  3 15:53:44 2021
11,0,11,chenyifeng25 (fr770880),[問卦] 大學迎新茶會除了認識新同學還能幹嘛？,Wed Nov  3 11:33:17 2021
4,1,3,chunzheng (聽巴哈),[問卦] 大家一天跟爸媽相處多久時間？,Wed Nov  3 12:55:27 2021
4,2,2,iamgaylan (),[問卦] 大家會希望佔用車道臨頭的人全家死光嗎,Wed Nov  3 12:26:52 2021
11,2,9,latiner123 (大鳥),[問卦] 大家說英語這本雜誌好嗎,Wed Nov  3 12:38:22 2021
16,1,15,goldsingle (大俠愛吃漢堡包),[問卦] 天然氣發電廠,Wed Nov  3 12:20:48 2021
14,3,11,gerychen (邪惡肥宅),[問卦] 女權到底想要怎樣的世界？,Wed Nov  3 11:49:10 2021
6,2,4,j8004150560 (jumpyou),[問卦] 如何自願報名教召14天？（認真）,Wed Nov  3 13:42:28 2021
5,1,4,louiswei1986 (禪寶寶),[問卦] 如果人民都是智障怎麼辦？,Wed Nov  3 13:12:50 2021
10,3,7,zxy472 (台中劉以豪),[問卦] 如果你是中國高官 想把誰叫進辦公室？,Wed Nov  3 13:08:18 2021
3,9,-6,aabbcc520 (U質文),[問卦] 如果女朋友薪水比我高怎麼辦的八卦,Wed Nov  3 13:21:18 2021
11,3,8,rondox (一個人跳舞),[問卦] 妹子說：祖先有荷蘭血統。意味？,Wed Nov  3 12:11:39 2021
3,0,3,KevinLow (廢文漏),[問卦] 威爾史密斯關門 勇士成功奪冠,Wed Nov  3 11:51:12 2021
22,4,18,howard24 (中信兄弟強攻強攻),[問卦] 子瑜到底有沒有男友,Wed Nov  3 12:24:21 2021
7,0,7,teeheehee (軟尾拋拋翔(′・ω・`)),[問卦] 宋朝人知道蒙古的地盤狗幹大嗎？,Wed Nov  3 11:13:35 2021
5,1,4,ghosthunderd (無病呻吟有情抒情),[問卦] 宿儺其實就跟九尾一樣吧,Wed Nov  3 14:54:10 2021
11,1,10,abc5588646 (sa),[問卦] 實聯制有發揮功用過嗎？,Wed Nov  3 13:23:52 2021
1,4,-3,Noenoenoe (NNNNNoe),[問卦] 對鼬來說 早點死會比較好嗎,Wed Nov  3 16:09:52 2021
