推數,噓數,文章分數,文章作者,文章名稱,發表時間
14,1,13,Giddcns (狠、插、勁！！！),[問卦] 靜宜為什麼選台中？,Wed Nov  3 16:05:59 2021
5,1,4,s910211 (我愛PTT),[問卦] 飯店巴菲食材升級的卦？,Wed Nov  3 13:17:40 2021
4,6,-2,addog74 (陳冠希),[問卦] 馬東石老愛一半就領便當的八卦,Wed Nov  3 16:37:31 2021
5,8,-3,Costco5566 (cc),[問卦] 驚！鋼鐵人死了！,Wed Nov  3 14:26:54 2021
3,0,3,SeaForest (~海森林~),[問卦] 高級飯店的服務人員都在想什麼,Wed Nov  3 14:10:08 2021
8,0,8,iCtrl (iCtrl),[問卦] 高鐵應該要蓋到基隆吧？,Wed Nov  3 11:57:27 2021
21,4,17,slovea (廢物文組傳產學徒),[問卦] 高雄式左轉明明就違規高雄人還很得意,Wed Nov  3 12:55:42 2021
36,3,33,Lucky0105 (洋),[問卦] 鬥陣特工（OW）是怎麼下去的？,Wed Nov  3 13:36:44 2021
93,17,76,s66449 (老實樣),[新聞] 10萬包養小20歲酒店妹！美豔蛇蠍女竟嫌,Wed Nov  3 12:13:30 2021
6,1,5,thepower (木星超能源),[新聞] 2里長竊佔里民會堂停車位出租牟利百萬 10,Wed Nov  3 16:04:49 2021
3,0,3,relax911 (Raindrpos),[新聞] COP26氣候峰會上百國簽署承諾 2030年前,Wed Nov  3 16:15:22 2021
13,0,13,wpd (??),[新聞] C羅2度補時進球追平　索帥：他就是我們的喬丹,Wed Nov  3 11:54:21 2021
34,5,29,xadeju (良心),[新聞] PS5推出一年「遊戲片賣不掉」！日電玩店,Wed Nov  3 11:26:13 2021
27,71,-44,Carol787 (卡羅),[新聞] 「國民黨就是反美豬」 民進黨團：亂,Wed Nov  3 12:00:16 2021
18,1,17,taiwan08 (save the one for all),[新聞] 一張照洩了「人獸情」　人妻崩潰！老公被,Wed Nov  3 13:13:44 2021
95,13,82,wuwoeijyh123 (無琴無藝),[新聞] 交通部認了！基隆捷運傾向廢台鐵 謝國樑,Wed Nov  3 16:34:30 2021
9,3,6,charloette (三宅樹理),[新聞] 全聯即期品打折超省錢？他揭「暗黑真相」,Wed Nov  3 16:08:50 2021
183,24,159,motan (警察先生就是這個人),[新聞] 助台防禦中國入侵 美參議員提武裝台灣法,Wed Nov  3 12:09:48 2021
15,1,14,gsp0309099 (笑看紅塵只為紅顏),[新聞] 包租公哭哭！偷吃女房客還讓她爽收租　3,Wed Nov  3 14:02:50 2021
3,2,1,kingtama (立志成為唬爛王),[新聞] 包租公金屋藏嬌卻不舉人財兩失 元配被瞞1,Wed Nov  3 15:22:10 2021
18,4,14,Racing5566 (RacingKing),[新聞] 北市議會討論恢復發重陽敬老金？呱吉酸,Wed Nov  3 15:14:45 2021
7,3,4,svd237 (ggsmida),[新聞] 台北熊好券墊付案終於在議會通過,Wed Nov  3 14:46:00 2021
3,6,-3,makihara (Frozen In Time),[新聞] 台灣打疫苗死亡人數破千...超越染疫數？,Wed Nov  3 16:04:46 2021
41,12,29,BBMADE (Let's not fall in love),[新聞] 台男誇口約吃飯2次就能上床　烏克蘭美女,Wed Nov  3 15:48:24 2021
211,15,196,tsaotsaogh (Advantage),[新聞] 台積電為什麼會成功？張忠謀親回這1字,Wed Nov  3 13:56:46 2021
57,20,37,nanoblossom (昨天),[新聞] 台裔吳弭改寫歷史 波士頓200年來首位女,Wed Nov  3 12:57:17 2021
24,12,12,linhsiuwei (清心寡慾的天煞孤星),[新聞] 國民黨：萊豬公投 無涉CPTPP,Wed Nov  3 12:28:41 2021
15,3,12,davidex (玉藻前我的),[新聞] 國防部前部長湯曜明今病逝醫院 享壽81歲,Wed Nov  3 14:14:25 2021
16,1,15,Konstick (電玩快打),[新聞] 基隆恐「蓋捷運廢台鐵」謝國樑反對：犧,Wed Nov  3 15:11:51 2021
178,13,165,paul1951 (跑羅),[新聞] 女警好勇好兇 大街上壓制訓斥裸男毒犯,Wed Nov  3 13:14:36 2021
0,0,0,Wojnarowski (@wojespn),[新聞] 屏縣東港打疫苗出包！88人第2劑莫德納被,Wed Nov  3 16:46:07 2021
8,1,7,leepingyo (御前一品帶刀龍侍衛),[新聞] 從幫派少年犯到警長　亞當斯當選紐約第2,Wed Nov  3 16:08:25 2021
123,55,68,Rin5566 (派屈克),[新聞] 快訊／決戰海線！蔡英文親自徵召：林靜,Wed Nov  3 16:02:13 2021
23,37,-14,leafshot (5566),[新聞] 快訊／理科太太離婚首發聲！　「我正用,Wed Nov  3 15:20:25 2021
16,0,16,ccugoo (小麥),[新聞] 怕台積電、聯發科吸光人才！聯詠啟動調薪,Wed Nov  3 15:01:24 2021
35,7,28,girl55665566 (同志友善ID),[新聞] 想摸屁股被拒...狂男追砍自助餐老闆 檢起,Wed Nov  3 13:12:55 2021
13,3,10,beaqu (十字軍東征),[新聞] 挪威抗議成功　女子沙灘手球員免穿「比基,Wed Nov  3 15:12:39 2021
5,0,5,jhemezuo (Penelope),[新聞] 接種後不良事件通報數破萬「與疫苗有關」,Wed Nov  3 16:07:24 2021
315,89,226,oylq2000 (oylq2000),[新聞] 掰了台灣！聖結石將帶老婆「搬到國外」,Wed Nov  3 11:28:52 2021
29,4,25,yafabo (認真的男人最帥),[新聞] 撞臉金城武爆紅！元祖網紅「燒餅帥哥」12,Wed Nov  3 15:23:10 2021
460,136,324,Marcin (花火易滅 流年易逝),[新聞] 敘利亞難民學校募款助台買疫苗　8歲童捐,Wed Nov  3 13:49:31 2021
169,19,150,sincsnow (sincsnow),[新聞] 教召延長至14天 藍委喊替代役也該練：林,Wed Nov  3 12:35:33 2021
15,1,14,kk30180 (kk5),[新聞] 日媒：RCEP獲紐澳批准 預料2022年1月生效,Wed Nov  3 12:55:32 2021
8,0,8,jimmy5680 (喜歡鯊鯊的企鵝),[新聞] 明尼亞波里斯公投否決解散市警局,Wed Nov  3 14:39:43 2021
67,10,57,yvefly (往日時光),[新聞] 昨與日方談高端疫苗認證 陳時中今改口：,Wed Nov  3 13:50:57 2021
12,4,8,magiccello (流浪的終點),[新聞] 有狀況？中國各省突發「家庭應急物資清,Wed Nov  3 12:54:32 2021
4,1,3,lulu1305174 (ㄌㄨˇ ㄌㄨˊ),[新聞] 李子柒陷合約糾紛 中國下一個外宣網紅何,Wed Nov  3 16:35:20 2021
9,4,5,sundholm (北風與太陽),[新聞] 林右昌樂見 協和電廠轉型天然氣電廠,Wed Nov  3 12:44:33 2021
71,30,41,footballjan (足球金童),[新聞] 林靜儀補選勝算？民進黨台中主委：反罷,Wed Nov  3 12:49:03 2021
173,18,155,heliosy (這一欄是要做啥用的),[新聞] 桃市楊梅里民掛白布條 要求中華電信遷基,Wed Nov  3 15:20:05 2021
8,2,6,pdz (勞工典範),[新聞] 機車遭水泥攪拌車壓輪下　驚險！外送員,Wed Nov  3 12:45:25 2021
12,4,8,Willis5566 ((〃∀〃)),[新聞] 歐洲議會代表團訪台 關注中國假訊息攻擊,Wed Nov  3 12:45:12 2021
47,3,44,linchadwick (CW),[新聞] 煤炭太貴又耗人力，美軍要在阿拉斯加設置,Wed Nov  3 14:41:37 2021
20,24,-4,Adlib (謝大肥識逐漸高。臺灣於2),[新聞] 爭取莫德納代工 陳時中坦言：後端代工,Wed Nov  3 14:37:43 2021
11,9,2,zo6al (我書讀得少 你不要騙我),[新聞] 理科太太被爆協議離婚 經紀人回應了,Wed Nov  3 11:35:46 2021
228,16,212,DuDu (林北告到你無處躲),[新聞] 瑞莎再發聲明！深夜反擊體協：說法跟實,Wed Nov  3 13:51:37 2021
30,3,27,yukihira (///),[新聞] 產婦接種莫德納疫苗 新生兒凝血功能異常,Wed Nov  3 15:55:29 2021
275,40,235,karl085 (卡蒂爾),[新聞] 綠二代不只染毒！當替代役還逃兵172小時,Wed Nov  3 13:59:35 2021
13,11,2,johnny790218 (全知),[新聞] 網紅小玉製換臉謎片 YouTube：無限期停止,Wed Nov  3 14:19:19 2021
6,12,-6,wiejen (威風八百面),[新聞] 總統、行政院長被換臉講不實言論？徐國勇,Wed Nov  3 12:28:03 2021
16,6,10,kbten (kbten),[新聞] 舉證澄清自己非特務　謝長廷酸施明德：政,Wed Nov  3 14:21:16 2021
11,4,7,skizard ( ),[新聞] 菲律賓總統候選人賴克遜 支持啟用停工40,Wed Nov  3 11:35:34 2021
17,0,17,chadmu (查德姆),[新聞] 被遺忘的部落 亞馬遜原住民「第1次聽到新,Wed Nov  3 16:41:33 2021
29,6,23,kukukuma (ku底一包),[新聞] 見OL身材姣好凍抹條　移工鹹豬手摸這裡下,Wed Nov  3 12:36:19 2021
7,1,6,flyuncle ( ),[新聞] 豬肉儀表板無法回溯虛有其表？ 陳時中允,Wed Nov  3 12:39:10 2021
69,12,57,medama ( ),[新聞] 里幹事憂心智障兒未來 花120萬幫買清潔隊,Wed Nov  3 13:09:05 2021
176,11,165,Desire5566 (滴塞ㄦ),[新聞] 阿帕契直升機演習誤觸開關　飛彈發射架,Wed Nov  3 15:04:35 2021
154,32,122,st210113 (會飛的豬不稀奇),[新聞] 首例！總統官邸警衛室主任買私菸　「七星,Wed Nov  3 11:14:10 2021
32,1,31,doepe (恰恰),[新聞] 高雄應召站「潮到出汁」雞頭默默坦承：也,Wed Nov  3 15:37:53 2021
14,0,14,STAV72 (刁民黨黨務主委),[新聞]「反川普」失效！CNN預測共和黨楊京當選,Wed Nov  3 13:06:58 2021
2,0,2,saiulbb (#KEEP MLB GREAT!),[爆卦] 亞特蘭大勇士奪下2021年世界大賽冠軍,Wed Nov  3 11:33:23 2021
3,1,2,ckpioneer (風),[爆卦] 勇士2021年世界大賽奪冠,Wed Nov  3 11:34:17 2021
6,0,6,circusconan (Horie),[爆卦] 勇士世界大賽冠軍,Wed Nov  3 11:33:27 2021
2,0,2,ckpioneer (風),[爆卦] 印度開放邊境給觀光客,Wed Nov  3 14:17:25 2021
259,138,121,rocephin (Roce),[爆卦] 呱吉：柯市長對我視而不見 逐字稿流出！,Wed Nov  3 14:56:00 2021
176,94,82,Dodoroiscute (再想想),[爆卦] 唐鳳：心臟動過手術，即使想當兵也不能當,Wed Nov  3 15:15:43 2021
1,0,1,jones210272 (hy鐵粉),[爆卦] 勇士冠軍！！,Wed Nov  3 11:33:32 2021
18,6,12,nk11208z (小魯),[爆卦] 本土+0 境外+7 死亡+0,Wed Nov  3 14:08:45 2021
587,156,431,fatdoghusky (胖胖哈士奇),[爆卦] 柯文哲忽略呱吉影片流出,Wed Nov  3 14:06:21 2021
62,47,15,Voidreaver (voidreaver),[爆卦] 第四波藝Fun券號碼抽完了,Wed Nov  3 15:40:07 2021
85,8,77,kimisawa (楊回血了。),[爆卦] 維吉尼亞州長 共和黨贏了,Wed Nov  3 12:40:42 2021
35,3,32,peterlin057 (Peter),[爆卦] 賀！勇士隊拿到總冠軍啦！,Wed Nov  3 11:33:18 2021
75,5,70,yamaybe (華麗轉身(*￣▽￣),[爆卦]反核代表苗博雅竟然自打臉推低碳法案,Wed Nov  3 15:48:22 2021
0,6,-6,ab15963qw (uioy),假如油價跌，物價會跌？,Wed Nov  3 12:32:02 2021
1,3,-2,Arhib (pipl),［問卦］今日備載率是否足夠？,Wed Nov  3 14:34:44 2021
